transaction_id,customer_id,account_age_days,lifetime_orders,order_amount,product_category,payment_method,order_velocity_24h,previous_returns_count,ip_country_match,return_probability,returned,age_group,amount_group
TXN-000000,4174,59.78019965122365,6,4803.466162749712,apparel,debit_card,1,2,1,0.23,0,30-90 days,2-5K
TXN-000001,4507,36.48972173713804,5,46.9376592116911,home,credit_card,1,0,1,0.13,0,30-90 days,<2K
TXN-000002,1860,39.468810705346755,5,1378.8033340157422,home,upi,3,3,1,0.43000000000000005,1,30-90 days,<2K
TXN-000003,2294,85.073680474424,2,871.1896565560179,home,upi,2,3,1,0.33,0,30-90 days,<2K
TXN-000004,2130,19.870320331869955,9,1885.9931008818269,home,credit_card,2,0,1,0.2,0,<30 days,<2K
TXN-000005,2095,22.96702226933994,7,262.03168327715446,apparel,debit_card,0,2,1,0.30000000000000004,0,<30 days,<2K
TXN-000006,4772,155.13014499762076,5,6295.040858667033,apparel,credit_card,2,2,1,0.2,0,90-365 days,5-10K
TXN-000007,4092,3.4720044927496,4,1430.9314824962034,electronics,upi,3,1,1,0.4800000000000001,0,<30 days,<2K
TXN-000008,2638,39.88924708943823,2,202.7369185183345,electronics,credit_card,0,0,1,0.23,0,30-90 days,<2K
TXN-000009,3169,146.3736076259142,4,251.81289647858495,apparel,credit_card,0,0,1,0.15000000000000002,0,90-365 days,<2K
TXN-000010,1466,56.552385755346,5,575.5657180386672,home,credit_card,0,1,1,0.21000000000000002,0,30-90 days,<2K
TXN-000011,2238,47.43330734375805,4,2444.448207699179,electronics,upi,1,2,1,0.23,1,30-90 days,2-5K
TXN-000012,1330,17.24046217502267,6,350.7263037692445,apparel,credit_card,0,1,1,0.38000000000000006,0,<30 days,<2K
TXN-000013,2482,25.22943972471561,3,2719.3531285161857,apparel,debit_card,1,0,1,0.30000000000000004,0,<30 days,2-5K
TXN-000014,3135,114.65221155320722,7,1026.4235112174629,books,upi,2,1,1,0.13,1,90-365 days,<2K
TXN-000015,4444,49.1523093459266,5,10199.426155580251,apparel,upi,1,0,1,0.31,1,30-90 days,>10K
TXN-000016,4171,43.384498200471796,6,454.8195450456835,electronics,debit_card,2,0,1,0.23,0,30-90 days,<2K
TXN-000017,3919,6.2936183823505925,7,1008.5921052679796,home,debit_card,0,2,1,0.2,0,<30 days,<2K
TXN-000018,4735,0.9694797973765057,2,4090.193422565457,home,upi,2,1,1,0.28,0,<30 days,2-5K
TXN-000019,1130,198.9317757468477,6,310.2393883025428,electronics,upi,0,0,1,0.15000000000000002,0,90-365 days,<2K
TXN-000020,2685,28.391193422956086,4,275.19197189591,home,debit_card,0,1,0,0.28,1,<30 days,<2K
TXN-000021,4380,55.46134936264736,6,192.6615853892424,electronics,upi,3,2,1,0.33,1,30-90 days,<2K
TXN-000022,1769,4.984317229790667,3,2645.154622516814,home,debit_card,1,1,1,0.28,0,<30 days,2-5K
TXN-000023,3391,68.95284557366735,6,125.46124893861473,apparel,upi,0,0,1,0.23,0,30-90 days,<2K
TXN-000024,2515,161.79698681380944,8,1684.947699920395,books,upi,1,0,1,0.05,0,90-365 days,<2K
TXN-000025,4485,51.43395825551496,3,384.7763975530476,books,upi,1,3,1,0.33,0,30-90 days,<2K
TXN-000026,3853,8.088411589825842,7,387.8508156050573,apparel,credit_card,1,2,1,0.30000000000000004,0,<30 days,<2K
TXN-000027,3433,52.29647196330028,15,64.40547182772366,books,upi,1,1,1,0.21000000000000002,0,30-90 days,<2K
TXN-000028,2215,87.23514493542937,7,941.3338343002598,apparel,credit_card,2,0,1,0.23,0,30-90 days,<2K
TXN-000029,1955,31.29464673761283,6,357.6511000787026,apparel,debit_card,2,1,1,0.31,1,30-90 days,<2K
TXN-000030,3324,127.13474093862379,3,792.1581286387258,electronics,upi,1,2,1,0.15000000000000002,0,90-365 days,<2K
TXN-000031,2184,62.763971785685506,2,806.3615427008298,home,upi,1,0,1,0.13,0,30-90 days,<2K
TXN-000032,1459,137.70614049776302,5,14671.586183738684,electronics,credit_card,1,0,1,0.23000000000000004,0,90-365 days,>10K
TXN-000033,4385,58.6110803244198,6,277.57120766816325,books,debit_card,4,2,1,0.23,0,30-90 days,<2K
TXN-000034,1021,8.4446155104554,6,2335.6887797355625,apparel,debit_card,0,1,1,0.38000000000000006,0,<30 days,2-5K
TXN-000035,3300,22.237019140469677,4,653.8487472802847,apparel,credit_card,0,2,1,0.30000000000000004,1,<30 days,<2K
TXN-000036,1747,13.523385447781326,1,2630.5578318289513,books,debit_card,3,2,1,0.30000000000000004,0,<30 days,2-5K
TXN-000037,3904,143.69945815555812,6,831.077965124673,home,credit_card,1,1,1,0.13,0,90-365 days,<2K
TXN-000038,4632,85.72708161440686,8,15762.41508860661,apparel,upi,1,0,1,0.31,0,30-90 days,>10K
TXN-000039,1474,67.69452320156087,2,1002.8526064211812,home,credit_card,1,2,1,0.13,1,30-90 days,<2K
TXN-000040,2082,21.48338125580236,2,1276.4595036913588,apparel,credit_card,3,0,1,0.4,1,<30 days,<2K
TXN-000041,3558,12.20374759391477,2,6523.755407656233,apparel,debit_card,0,2,1,0.35000000000000003,0,<30 days,5-10K
TXN-000042,4753,84.74624915695318,5,639.6234710449422,electronics,upi,2,1,1,0.31,0,30-90 days,<2K
TXN-000043,3047,38.56526332040082,7,5155.683222461477,home,upi,1,1,1,0.26,1,30-90 days,5-10K
